Date,Hash Rate (TH/s)
1/3/09 0:00,4.97103E-08
1/6/09 0:00,0
1/9/09 0:00,6.95944E-07
1/12/09 0:00,4.42421E-06
1/15/09 0:00,6.3132E-06
1/18/09 0:00,5.02074E-06
1/21/09 0:00,5.61726E-06
1/24/09 0:00,9.89234E-06
1/27/09 0:00,5.12016E-06
1/30/09 0:00,6.01494E-06
2/2/09 0:00,6.3132E-06
2/5/09 0:00,6.01494E-06
2/8/09 0:00,6.66118E-06
2/11/09 0:00,6.51205E-06
2/14/09 0:00,7.00915E-06
2/17/09 0:00,5.86581E-06
2/20/09 0:00,6.36291E-06
2/23/09 0:00,5.319E-06
2/26/09 0:00,4.77219E-06
3/1/09 0:00,5.26929E-06
3/4/09 0:00,5.26929E-06
3/7/09 0:00,5.51784E-06
3/10/09 0:00,5.21958E-06
3/13/09 0:00,5.66697E-06
3/16/09 0:00,6.46234E-06
3/19/09 0:00,6.06465E-06
3/22/09 0:00,4.72248E-06
3/25/09 0:00,5.76639E-06
3/28/09 0:00,5.91552E-06
3/31/09 0:00,5.61726E-06
4/3/09 0:00,5.61726E-06
4/6/09 0:00,5.71668E-06
4/9/09 0:00,4.92132E-06
4/12/09 0:00,5.71668E-06
4/15/09 0:00,5.56755E-06
4/18/09 0:00,6.06465E-06
4/21/09 0:00,6.11436E-06
4/24/09 0:00,5.61726E-06
4/27/09 0:00,5.21958E-06
4/30/09 0:00,6.56176E-06
5/3/09 0:00,5.66697E-06
5/6/09 0:00,6.81031E-06
5/9/09 0:00,4.52363E-06
5/12/09 0:00,6.3132E-06
5/15/09 0:00,7.10857E-06
5/18/09 0:00,6.16407E-06
5/21/09 0:00,4.42421E-06
5/24/09 0:00,4.77219E-06
5/27/09 0:00,6.21378E-06
5/30/09 0:00,5.12016E-06
6/2/09 0:00,4.42421E-06
6/5/09 0:00,2.83349E-06
6/8/09 0:00,3.57914E-06
6/11/09 0:00,4.62306E-06
6/14/09 0:00,3.47972E-06
6/17/09 0:00,3.82769E-06
6/20/09 0:00,4.17566E-06
6/23/09 0:00,3.77798E-06
6/26/09 0:00,4.42421E-06
6/29/09 0:00,3.77798E-06
7/2/09 0:00,3.57914E-06
7/5/09 0:00,3.97682E-06
7/8/09 0:00,3.92711E-06
7/11/09 0:00,4.17566E-06
7/14/09 0:00,3.57914E-06
7/17/09 0:00,3.23117E-06
7/20/09 0:00,3.72827E-06
7/23/09 0:00,3.28088E-06
7/26/09 0:00,6.46234E-07
7/29/09 0:00,1.59073E-06
8/1/09 0:00,1.14334E-06
8/4/09 0:00,2.8832E-06
8/7/09 0:00,3.67856E-06
8/10/09 0:00,4.07624E-06
8/13/09 0:00,4.02653E-06
8/16/09 0:00,1.24276E-06
8/19/09 0:00,7.45654E-07
8/22/09 0:00,3.97682E-07
8/25/09 0:00,2.73406E-06
8/28/09 0:00,3.18146E-06
8/31/09 0:00,4.67277E-06
9/3/09 0:00,2.98262E-06
9/6/09 0:00,3.57914E-06
9/9/09 0:00,2.8832E-06
9/12/09 0:00,3.52943E-06
9/15/09 0:00,2.78378E-06
9/18/09 0:00,4.02653E-06
9/21/09 0:00,3.67856E-06
9/24/09 0:00,4.07624E-06
9/27/09 0:00,4.42421E-06
9/30/09 0:00,4.32479E-06
10/3/09 0:00,2.8832E-06
10/6/09 0:00,2.03812E-06
10/9/09 0:00,3.8774E-06
10/12/09 0:00,3.08204E-06
10/15/09 0:00,4.22537E-06
10/18/09 0:00,3.18146E-06
10/21/09 0:00,4.12595E-06
10/24/09 0:00,3.72827E-06
10/27/09 0:00,3.28088E-06
10/30/09 0:00,3.03233E-06
11/2/09 0:00,1.64044E-06
11/5/09 0:00,3.18146E-06
11/8/09 0:00,3.47972E-06
11/11/09 0:00,3.43001E-06
11/14/09 0:00,4.12595E-06
11/17/09 0:00,4.52363E-06
11/20/09 0:00,4.07624E-06
11/23/09 0:00,4.77219E-06
11/26/09 0:00,3.8774E-06
11/29/09 0:00,2.8832E-06
12/2/09 0:00,4.87161E-06
12/5/09 0:00,2.58493E-06
12/8/09 0:00,5.91552E-06
12/11/09 0:00,6.21378E-06
12/14/09 0:00,5.36871E-06
12/17/09 0:00,8.00335E-06
12/20/09 0:00,8.6993E-06
12/23/09 0:00,8.40104E-06
12/26/09 0:00,7.90393E-06
12/29/09 0:00,8.15248E-06
1/1/10 0:00,6.99747E-06
1/4/10 0:00,1.11724E-05
1/7/10 0:00,9.34956E-06
1/10/10 0:00,1.12312E-05
1/13/10 0:00,1.02502E-05
1/16/10 0:00,8.69325E-06
1/19/10 0:00,7.72012E-06
1/22/10 0:00,9.73125E-06
1/25/10 0:00,1.35648E-05
1/28/10 0:00,1.15602E-05
1/31/10 0:00,1.37653E-05
2/3/10 0:00,1.62377E-05
2/6/10 0:00,1.72675E-05
2/9/10 0:00,1.88948E-05
2/12/10 0:00,1.69058E-05
2/15/10 0:00,2.32461E-05
2/18/10 0:00,2.87749E-05
2/21/10 0:00,2.68901E-05
2/24/10 0:00,3.57131E-05
2/27/10 0:00,3.25177E-05
3/2/10 0:00,3.68408E-05
3/5/10 0:00,3.28936E-05
3/8/10 0:00,3.06328E-05
3/11/10 0:00,3.28852E-05
3/14/10 0:00,2.81552E-05
3/17/10 0:00,2.77047E-05
3/20/10 0:00,4.34716E-05
3/23/10 0:00,4.65218E-05
3/26/10 0:00,4.42524E-05
3/29/10 0:00,4.35716E-05
4/1/10 0:00,5.71745E-05
4/4/10 0:00,5.02168E-05
4/7/10 0:00,5.83846E-05
4/10/10 0:00,7.26026E-05
4/13/10 0:00,6.41395E-05
4/16/10 0:00,7.85223E-05
4/19/10 0:00,8.43532E-05
4/22/10 0:00,0.000100871
4/25/10 0:00,9.63121E-05
4/28/10 0:00,9.97315E-05
5/1/10 0:00,9.28928E-05
5/4/10 0:00,8.30357E-05
5/7/10 0:00,8.36745E-05
5/10/10 0:00,8.75069E-05
5/13/10 0:00,8.30357E-05
5/16/10 0:00,6.13187E-05
5/19/10 0:00,0.000103475
5/22/10 0:00,0.000113065
5/25/10 0:00,0.000126609
5/28/10 0:00,0.000128965
5/31/10 0:00,0.000125573
6/3/10 0:00,0.000129704
6/6/10 0:00,0.000124747
6/9/10 0:00,0.000133834
6/12/10 0:00,0.000118373
6/15/10 0:00,0.000169352
6/18/10 0:00,0.000127878
6/21/10 0:00,0.000139974
6/24/10 0:00,0.00017556
6/27/10 0:00,0.000153374
6/30/10 0:00,0.00017749
7/3/10 0:00,0.000192924
7/6/10 0:00,0.000196267
7/9/10 0:00,0.0002208
7/12/10 0:00,0.000599314
7/15/10 0:00,0.001407832
7/18/10 0:00,0.001615397
7/21/10 0:00,0.001822962
7/24/10 0:00,0.001669545
7/27/10 0:00,0.002124483
7/30/10 0:00,0.002209463
8/2/10 0:00,0.003083536
8/5/10 0:00,0.002962137
8/8/10 0:00,0.003361158
8/11/10 0:00,0.003798808
8/14/10 0:00,0.004569073
8/17/10 0:00,0.003332692
8/20/10 0:00,0.004248547
8/23/10 0:00,0.005520567
8/26/10 0:00,0.005291603
8/29/10 0:00,0.00489622
9/1/10 0:00,0.005454017
9/4/10 0:00,0.005546983
9/7/10 0:00,0.004679299
9/10/10 0:00,0.006059847
9/13/10 0:00,0.005811783
9/16/10 0:00,0.006733163
9/19/10 0:00,0.009581379
9/22/10 0:00,0.007893231
9/25/10 0:00,0.009216374
9/28/10 0:00,0.009855133
10/1/10 0:00,0.010226025
10/4/10 0:00,0.010094922
10/7/10 0:00,0.0113404
10/10/10 0:00,0.011274848
10/13/10 0:00,0.011576864
10/16/10 0:00,0.016372014
10/19/10 0:00,0.016646023
10/22/10 0:00,0.016344753
10/25/10 0:00,0.022433975
10/28/10 0:00,0.022968118
10/31/10 0:00,0.027971776
11/3/10 0:00,0.030891906
11/6/10 0:00,0.031045597
11/9/10 0:00,0.054120808
11/12/10 0:00,0.038561076
11/15/10 0:00,0.049836244
11/18/10 0:00,0.059307385
11/21/10 0:00,0.046082977
11/24/10 0:00,0.063150746
11/27/10 0:00,0.062468035
11/30/10 0:00,0.084329546
12/3/10 0:00,0.077101299
12/6/10 0:00,0.096376623
12/9/10 0:00,0.100392316
12/12/10 0:00,0.105974737
12/15/10 0:00,0.109019988
12/18/10 0:00,0.096229933
12/21/10 0:00,0.119982892
12/24/10 0:00,0.108001742
12/27/10 0:00,0.11592187
12/30/10 0:00,0.115201859
1/2/11 0:00,0.129602091
1/5/11 0:00,0.121596944
1/8/11 0:00,0.155644088
1/11/11 0:00,0.131324699
1/14/11 0:00,0.141052455
1/17/11 0:00,0.158561467
1/20/11 0:00,0.153978766
1/23/11 0:00,0.155811847
1/26/11 0:00,0.178725353
1/29/11 0:00,0.164136212
2/1/11 0:00,0.195869213
2/4/11 0:00,0.207905868
2/7/11 0:00,0.225413731
2/10/11 0:00,0.244256346
2/13/11 0:00,0.263641771
2/16/11 0:00,0.298535534
2/19/11 0:00,0.318987823
2/22/11 0:00,0.384235332
2/25/11 0:00,0.40235964
2/28/11 0:00,0.461482779
3/3/11 0:00,0.505696698
3/6/11 0:00,0.746109882
3/9/11 0:00,0.598433793
3/12/11 0:00,0.518895124
3/15/11 0:00,0.367392898
3/18/11 0:00,0.52268268
3/21/11 0:00,0.587071126
3/24/11 0:00,0.575708459
3/27/11 0:00,0.524622354
3/30/11 0:00,0.534909066
4/2/11 0:00,0.648062907
4/5/11 0:00,0.692638663
4/8/11 0:00,0.638574171
4/11/11 0:00,0.630387322
4/14/11 0:00,0.66722814
4/17/11 0:00,0.728629503
4/20/11 0:00,0.661049805
4/23/11 0:00,0.78040602
4/26/11 0:00,0.885990364
4/29/11 0:00,0.927305976
5/2/11 0:00,0.970408278
5/5/11 0:00,1.242994872
5/8/11 0:00,1.123056771
5/11/11 0:00,1.463314603
5/14/11 0:00,1.940652521
5/17/11 0:00,2.034555063
5/20/11 0:00,2.71821706
5/23/11 0:00,3.361366632
5/26/11 0:00,3.858897433
5/29/11 0:00,3.739888948
6/1/11 0:00,3.847978224
6/4/11 0:00,4.669456721
6/7/11 0:00,4.765651499
6/10/11 0:00,6.373001413
6/13/11 0:00,6.908784718
6/16/11 0:00,8.762322509
6/19/11 0:00,9.547008107
6/22/11 0:00,11.77028397
6/25/11 0:00,10.3525631
6/28/11 0:00,10.48968314
7/1/11 0:00,12.34080369
7/4/11 0:00,11.24384337
7/7/11 0:00,10.56700187
7/10/11 0:00,11.18859021
7/13/11 0:00,14.21883339
7/16/11 0:00,12.35406836
7/19/11 0:00,12.74256107
7/22/11 0:00,12.01984874
7/25/11 0:00,13.19661715
7/28/11 0:00,14.03716601
7/31/11 0:00,14.1212209
8/3/11 0:00,14.92884333
8/6/11 0:00,11.64261995
8/9/11 0:00,12.48764882
8/12/11 0:00,12.86321721
8/15/11 0:00,13.42656978
8/18/11 0:00,14.18237632
8/21/11 0:00,13.01547194
8/24/11 0:00,11.75880568
8/27/11 0:00,11.75880568
8/30/11 0:00,13.91309069
9/2/11 0:00,14.31653111
9/5/11 0:00,13.60954192
9/8/11 0:00,11.04670611
9/11/11 0:00,12.19556354
9/14/11 0:00,13.26392523
9/17/11 0:00,10.73330792
9/20/11 0:00,12.12951057
9/23/11 0:00,11.69319724
9/26/11 0:00,11.95498524
9/29/11 0:00,11.25295401
10/2/11 0:00,11.00102221
10/5/11 0:00,11.50488582
10/8/11 0:00,10.83306767
10/11/11 0:00,8.901590487
10/14/11 0:00,11.16897674
10/17/11 0:00,8.247236133
10/20/11 0:00,7.517392227
10/23/11 0:00,7.663361008
10/26/11 0:00,7.955298571
10/29/11 0:00,8.685142476
11/1/11 0:00,8.73436486
11/4/11 0:00,8.554891609
11/7/11 0:00,7.836998607
11/10/11 0:00,8.674540443
11/13/11 0:00,8.794189277
11/16/11 0:00,7.884158164
11/19/11 0:00,7.647040625
11/22/11 0:00,8.002716933
11/25/11 0:00,7.70632001
11/28/11 0:00,7.350643702
12/1/11 0:00,10.03065755
12/4/11 0:00,7.428108565
12/7/11 0:00,7.97030627
12/10/11 0:00,8.512503976
12/13/11 0:00,7.406827445
12/16/11 0:00,7.11974111
12/19/11 0:00,8.670007319
12/22/11 0:00,7.923582848
12/25/11 0:00,9.99060446
12/28/11 0:00,8.649061209
12/31/11 0:00,9.283325697
1/3/12 0:00,9.340986105
1/6/12 0:00,9.80226937
1/9/12 0:00,10.01025622
1/12/12 0:00,10.32113374
1/15/12 0:00,9.20197466
1/18/12 0:00,8.828921633
1/21/12 0:00,11.1294153
1/24/12 0:00,8.77601647
1/27/12 0:00,9.036046588
1/30/12 0:00,10.79124988
2/2/12 0:00,10.59622729
2/5/12 0:00,9.327239883
2/8/12 0:00,9.052909298
2/11/12 0:00,9.464405175
2/14/12 0:00,9.327239883
2/17/12 0:00,9.73873576
2/20/12 0:00,9.988788097
2/23/12 0:00,11.49394795
2/26/12 0:00,10.39928624
2/29/12 0:00,12.72544237
3/3/12 0:00,8.855409941
3/6/12 0:00,11.01345102
3/9/12 0:00,12.35292479
3/12/12 0:00,12.57617042
3/15/12 0:00,9.599562037
3/18/12 0:00,11.61897621
3/21/12 0:00,12.06585992
3/24/12 0:00,12.81066608
3/27/12 0:00,11.02313128
3/30/12 0:00,12.12846182
4/2/12 0:00,10.26876434
4/5/12 0:00,9.621913043
4/8/12 0:00,11.80503617
4/11/12 0:00,11.56246693
4/14/12 0:00,10.43232114
4/17/12 0:00,11.13826769
4/20/12 0:00,12.15796825
4/23/12 0:00,11.60889871
4/26/12 0:00,12.07952974
4/29/12 0:00,12.44873829
5/2/12 0:00,11.5488295
5/5/12 0:00,11.6988143
5/8/12 0:00,13.94858628
5/11/12 0:00,10.59746018
5/14/12 0:00,12.32062444
5/17/12 0:00,10.16666911
5/20/12 0:00,12.23446622
5/23/12 0:00,10.42514375
5/26/12 0:00,10.67752332
5/29/12 0:00,10.75661609
6/1/12 0:00,11.94300757
6/4/12 0:00,11.94300757
6/7/12 0:00,9.965688435
6/10/12 0:00,13.3790336
6/13/12 0:00,12.74943202
6/16/12 0:00,12.59203163
6/19/12 0:00,14.32343598
6/22/12 0:00,12.10176058
6/25/12 0:00,13.13169765
6/28/12 0:00,11.58679204
7/1/12 0:00,11.84427631
7/4/12 0:00,13.84337907
7/7/12 0:00,14.80109712
7/10/12 0:00,13.14685686
7/13/12 0:00,14.01750963
7/16/12 0:00,12.88566102
7/19/12 0:00,13.26737055
7/22/12 0:00,12.89625529
7/25/12 0:00,14.28793751
7/28/12 0:00,15.77239855
7/31/12 0:00,13.46538137
8/3/12 0:00,17.51512013
8/6/12 0:00,14.27532912
8/9/12 0:00,16.09771157
8/12/12 0:00,18.40554294
8/15/12 0:00,18.62336001
8/18/12 0:00,16.11846364
8/21/12 0:00,19.7124454
8/24/12 0:00,16.98973194
8/27/12 0:00,18.07742531
8/30/12 0:00,19.16935033
9/2/12 0:00,18.56272532
9/5/12 0:00,21.83850037
9/8/12 0:00,18.74905902
9/11/12 0:00,21.15965232
9/14/12 0:00,21.69533972
9/17/12 0:00,23.57024562
9/20/12 0:00,20.92944794
9/23/12 0:00,21.21420234
9/26/12 0:00,20.35993916
9/29/12 0:00,23.91936908
10/2/12 0:00,19.36329878
10/5/12 0:00,20.65110469
10/8/12 0:00,25.20649543
10/11/12 0:00,20.9547974
10/14/12 0:00,20.9547974
10/17/12 0:00,21.53435778
10/20/12 0:00,21.07617995
10/23/12 0:00,20.92345401
10/26/12 0:00,24.58887661
10/29/12 0:00,24.13069879
11/1/12 0:00,22.17516038
11/4/12 0:00,26.28167156
11/7/12 0:00,25.78889022
11/10/12 0:00,26.28167156
11/13/12 0:00,22.77487591
11/16/12 0:00,23.61218753
11/19/12 0:00,20.59786571
11/22/12 0:00,24.61696146
11/25/12 0:00,23.61218753
11/28/12 0:00,28.89039649
12/1/12 0:00,27.35185466
12/4/12 0:00,18.97534917
12/7/12 0:00,21.19768736
12/10/12 0:00,24.27477101
12/13/12 0:00,22.78443985
12/16/12 0:00,19.26625428
12/19/12 0:00,23.95716837
12/22/12 0:00,24.12470102
12/25/12 0:00,20.60651545
12/28/12 0:00,26.06886297
12/31/12 0:00,24.88391466
1/3/13 0:00,23.69896634
1/6/13 0:00,21.03283263
1/9/13 0:00,21.64582213
1/12/13 0:00,19.22278234
1/15/13 0:00,20.51507022
1/18/13 0:00,20.19199825
1/21/13 0:00,23.58425396
1/24/13 0:00,23.90732593
1/27/13 0:00,22.43195058
1/30/13 0:00,21.39890022
2/2/13 0:00,23.76015818
2/5/13 0:00,28.00576717
2/8/13 0:00,24.74928262
2/11/13 0:00,25.88905221
2/14/13 0:00,26.70317335
2/17/13 0:00,30.28530636
2/20/13 0:00,31.39824966
2/23/13 0:00,29.40182916
2/26/13 0:00,28.13137975
3/1/13 0:00,34.30627041
3/4/13 0:00,37.9974514
3/7/13 0:00,33.00350064
3/10/13 0:00,40.16873434
3/13/13 0:00,33.43775723
3/16/13 0:00,42.41210107
3/19/13 0:00,47.47263586
3/22/13 0:00,54.22001557
3/25/13 0:00,45.26778087
3/28/13 0:00,59.58038805
3/31/13 0:00,52.25765879
4/3/13 0:00,59.24753672
4/6/13 0:00,64.07971834
4/9/13 0:00,64.07971834
4/12/13 0:00,65.98685282
4/15/13 0:00,61.02830318
4/18/13 0:00,72.71669197
4/21/13 0:00,77.62395339
4/24/13 0:00,78.07006806
4/27/13 0:00,70.93223327
4/30/13 0:00,74.63339018
5/3/13 0:00,73.63159971
5/6/13 0:00,81.64592348
5/9/13 0:00,83.14860919
5/12/13 0:00,89.15935203
5/15/13 0:00,81.74987297
5/18/13 0:00,81.74987297
5/21/13 0:00,82.86211614
5/24/13 0:00,90.09169674
5/27/13 0:00,103.9136922
5/30/13 0:00,102.101244
6/2/13 0:00,123.2464721
6/5/13 0:00,156.7035621
6/8/13 0:00,130.327715
6/11/13 0:00,136.5337967
6/14/13 0:00,133.4307558
6/17/13 0:00,148.0494004
6/20/13 0:00,140.3585225
6/23/13 0:00,169.1993148
6/26/13 0:00,181.6969915
6/29/13 0:00,170.754179
7/2/13 0:00,166.5118392
7/5/13 0:00,187.7235384
7/8/13 0:00,197.2688031
7/11/13 0:00,249.7082121
7/14/13 0:00,211.9918675
7/17/13 0:00,219.7952492
7/20/13 0:00,243.205394
7/23/13 0:00,225.2998321
7/26/13 0:00,276.5749663
7/29/13 0:00,257.929463
8/1/13 0:00,287.4515099
8/4/13 0:00,317.8555672
8/7/13 0:00,327.1495897
8/10/13 0:00,369.9020929
8/13/13 0:00,484.9527656
8/16/13 0:00,434.4368525
8/19/13 0:00,449.5916264
8/22/13 0:00,525.365496
8/25/13 0:00,467.3888102
8/28/13 0:00,545.8316874
8/31/13 0:00,702.7174419
9/3/13 0:00,604.6638454
9/6/13 0:00,821.0781131
9/9/13 0:00,834.0425044
9/12/13 0:00,898.8644606
9/15/13 0:00,1024.579581
9/18/13 0:00,845.4181239
9/21/13 0:00,1046.974763
9/24/13 0:00,1125.3579
9/27/13 0:00,1302.020289
9/30/13 0:00,1213.246178
10/3/13 0:00,1538.75125
10/6/13 0:00,1900.662831
10/9/13 0:00,1721.887615
10/12/13 0:00,1853.616722
10/15/13 0:00,2333.487041
10/18/13 0:00,2302.45572
10/21/13 0:00,2675.107513
10/24/13 0:00,2781.579453
10/27/13 0:00,3439.672053
10/30/13 0:00,3808.902386
11/2/13 0:00,4216.99907
11/5/13 0:00,3303.639825
11/8/13 0:00,3377.99452
11/11/13 0:00,4952.698733
11/14/13 0:00,4292.338902
11/17/13 0:00,5847.426832
11/20/13 0:00,4938.500381
11/23/13 0:00,4908.202833
11/26/13 0:00,4968.79793
11/29/13 0:00,6505.60945
12/2/13 0:00,5731.969408
12/5/13 0:00,6013.29306
12/8/13 0:00,6294.616711
12/11/13 0:00,7134.389874
12/14/13 0:00,9030.873258
12/17/13 0:00,8895.410159
12/20/13 0:00,9121.181991
12/23/13 0:00,9333.937661
12/26/13 0:00,10508.01787
12/29/13 0:00,8805.601567
1/1/14 0:00,11740.80209
1/4/14 0:00,10435.93771
1/7/14 0:00,13185.94832
1/10/14 0:00,14243.64471
1/13/14 0:00,18058.64887
1/16/14 0:00,17791.77229
1/19/14 0:00,16368.43051
1/22/14 0:00,16902.18368
1/25/14 0:00,16903.79922
1/28/14 0:00,18103.42368
1/31/14 0:00,20066.44552
2/3/14 0:00,21157.01322
2/6/14 0:00,21761.8906
2/9/14 0:00,19676.91905
2/12/14 0:00,21761.8906
2/15/14 0:00,23455.92999
2/18/14 0:00,25980.5117
2/21/14 0:00,26136.08362
2/24/14 0:00,28314.09059
2/27/14 0:00,28314.09059
3/2/14 0:00,28262.41817
3/5/14 0:00,30538.58608
3/8/14 0:00,33194.1153
3/11/14 0:00,31866.35069
3/14/14 0:00,29367.84755
3/17/14 0:00,37607.74722
3/20/14 0:00,35283.67296
3/23/14 0:00,43312.29315
3/26/14 0:00,39324.9976
3/29/14 0:00,42560.59867
4/1/14 0:00,44551.73779
4/4/14 0:00,50027.37037
4/7/14 0:00,44415.13216
4/10/14 0:00,53237.31594
4/13/14 0:00,60538.43356
4/16/14 0:00,45327.77186
4/19/14 0:00,56547.98442
4/22/14 0:00,53425.70307
4/25/14 0:00,56894.90457
4/28/14 0:00,57588.74487
5/1/14 0:00,66817.88587
5/4/14 0:00,60454.27769
5/7/14 0:00,64829.25832
5/10/14 0:00,70397.41547
5/13/14 0:00,74817.97102
5/16/14 0:00,80099.23956
5/19/14 0:00,77898.711
5/22/14 0:00,73497.65388
5/25/14 0:00,78483.25676
5/28/14 0:00,91996.9301
5/31/14 0:00,79003.01342
6/3/14 0:00,97714.25344
6/6/14 0:00,86494.36212
6/9/14 0:00,79481.30574
6/12/14 0:00,90585.31168
6/15/14 0:00,108702.374
6/18/14 0:00,113768.8429
6/21/14 0:00,126484.1841
6/24/14 0:00,132507.2405
6/27/14 0:00,125145.7271
6/30/14 0:00,104506.2812
7/3/14 0:00,111194.6832
7/6/14 0:00,124571.4872
7/9/14 0:00,132931.9897
7/12/14 0:00,137948.2912
7/15/14 0:00,118927.4328
7/18/14 0:00,137025.0856
7/21/14 0:00,128407.1557
7/24/14 0:00,128407.1557
7/27/14 0:00,149954.3634
