Company,Device,Hashrate (T),Power Consumption (W),Unit Power (W/T) ,Produced (24h) (BTC),Revenue (24h),Daily Cost$ /kWh,Profits (24h),Electricity Cost Rate ,Year Released,Month Released,% of year (M/13),Company,,,
Bitmain,Antminer S19 Pro,110,3250,30,0.00167102,$ 13.24,$ 3.90,$ 9.34,29%,2020,2,0.153846154,Bitmain,,,
Bitmain,Antminer S19,95,3250,34,0.00144315,$ 11.44,$ 3.90,$ 7.54,34%,2020,2,0.153846154,Bitmain,,,
Whatsminer,Whatsminer M30S,88,3344,38,0.00133682,$ 10.59,$ 4.01,$ 6.58,38%,2019,12,0.923076923,Whatsminer,,,
Hummer,Hummer Miner H9 Pro,84,3360,40,0.00127605,$ 10.11,$ 4.03,$ 6.08,40%,2020,2,0.153846154,Hummer,,,
Bitfury,Bitfury Tardis B8,80,6300,79,0.00121529,$ 9.63,$ 7.56,$ 2.07,78%,2018,10,0.769230769,Bitfury,,,
Bitmain,Antminer S17+,73,2920,40,0.00110895,$ 8.79,$ 3.50,$ 5.29,40%,2019,10,0.769230769,Bitmain,,,
Avalon,Avalon 1166,68,3196,47,0.00103299,$ 8.19,$ 3.84,$ 4.35,47%,2019,10,0.769230769,Canaan,,,
Whatsminer,Whatsminer M20S,68,3260,48,0.00103299,$ 8.19,$ 3.91,$ 4.28,48%,2019,4,0.307692308,Whatsminer,,,
Bitmain,Antminer S17+ (67T),67,2680,40,0.0010178,$ 8.07,$ 3.22,$ 4.85,40%,2020,1,0.076923077,Bitmain,,,
INNOSILICON,INNOSILICON T3+ Miner (67T),67,3300,49,0.0010178,$ 8.07,$ 3.96,$ 4.11,49%,2019,11,0.846153846,INNOSILICON,,,
Hummer,Hummer Miner H9,67,3350,50,0.0010178,$ 8.07,$ 4.02,$ 4.05,50%,2020,2,0.153846154,Hummer,,,
Whatsminer,Whatsminer M20S (65T),65,3120,48,0.00098742,$ 7.83,$ 3.74,$ 4.08,48%,2019,9,0.692307692,Whatsminer,,,
Bitmain,Antminer S17e,64,2880,45,0.00097223,$ 7.71,$ 3.46,$ 4.25,45%,2019,9,0.692307692,Bitmain,,,
Bitmain,Antminer T17+,64,3220,50,0.00097223,$ 7.71,$ 3.86,$ 3.84,50%,2019,10,0.769230769,Bitmain,,,
Whatsminer,Whatsminer M20S (62T),62,2976,48,0.00094185,$ 7.46,$ 3.57,$ 3.89,48%,2019,9,0.692307692,Whatsminer,,,
Avalon,Avalon 1146,58,3248,56,0.00088108,$ 6.98,$ 3.90,$ 3.09,56%,2019,10,0.769230769,Canaan,,,
INNOSILICON,INNOSILICON T3+ Miner,57,3300,58,0.00086589,$ 6.86,$ 3.96,$ 2.90,58%,2019,9,0.692307692,INNOSILICON,,,
Whatsminer,Whatsminer M21S,56,3360,60,0.0008507,$ 6.74,$ 4.03,$ 2.71,60%,2019,5,0.384615385,Whatsminer,,,
Bitmain,Antminer T17+ (55T),55,2750,50,0.00083551,$ 6.62,$ 3.30,$ 3.32,50%,2020,1,0.076923077,Bitmain,,,
Whatsminer,Whatsminer M10S,55,3575,65,0.00083551,$ 6.62,$ 4.29,$ 2.33,65%,2018,9,0.692307692,Whatsminer,,,
Whatsminer,Whatsminer M21S (54T),54,3240,60,0.00082032,$ 6.50,$ 3.89,$ 2.61,60%,2019,9,0.692307692,Whatsminer,,,
Bitmain,Antminer S17 Pro,53,2094,40,0.00080513,$ 6.38,$ 2.51,$ 3.87,39%,2019,4,0.307692308,Bitmain,,,
Bitmain,Antminer S17,53,2385,45,0.00080513,$ 6.38,$ 2.86,$ 3.52,45%,2019,4,0.307692308,Bitmain,,,
Bitmain,Antminer T17e,53,2915,55,0.00080513,$ 6.38,$ 3.50,$ 2.88,55%,2019,9,0.692307692,Bitmain,,,
Hummer,Hummer Miner H7 Pro (48T),53,3445,65,0.00080513,$ 6.38,$ 4.13,$ 2.25,65%,2019,9,0.692307692,Hummer,,,
Bitmain,Antminer S17 Pro (50T),50,1975,40,0.00075955,$ 6.02,$ 2.37,$ 3.65,39%,2019,10,0.769230769,Bitmain,,,
Ebit,Ebit E12+,50,2500,50,0.00075955,$ 6.02,$ 3.00,$ 3.02,50%,2019,6,0.461538462,Ebang,,,
INNOSILICON,INNOSILICON T3 (50T),50,3100,62,0.00075955,$ 6.02,$ 3.72,$ 2.30,62%,2019,8,0.615384615,INNOSILICON,,,
Avalon,Avalon 1066,50,3250,65,0.00075955,$ 6.02,$ 3.90,$ 2.12,65%,2019,10,0.769230769,Canaan,,,
SnowPanther,SnowPanther A1,49,6200,127,0.00074436,$ 5.90,$ 7.44,$ -1.54,126%,2018,2,0.153846154,SnowPanther,,,
Hummer,Hummer Miner H7 Pro (48T),48,3120,65,0.00072917,$ 5.78,$ 3.74,$ 2.04,65%,2019,9,0.692307692,Hummer,,,
StrongU,StrongU STU-U8,46,2100,46,0.00069879,$ 5.54,$ 2.52,$ 3.02,46%,2019,5,0.384615385,StrongU,,,
Whatsminer,Whatsminer M20,45,2160,48,0.0006836,$ 5.42,$ 2.59,$ 2.83,48%,2019,3,0.230769231,Whatsminer,,,
Ebit,Ebit E11++,44,1980,45,0.00066841,$ 5.30,$ 2.38,$ 2.92,45%,2018,10,0.769230769,Ebang,,,
Ebit,Ebit E12,44,2508,57,0.00066841,$ 5.30,$ 3.01,$ 2.29,57%,2019,6,0.461538462,Ebang,,,
Whatsminer,Whatsminer M10S (Underclocked ),44,2640,60,0.00066841,$ 5.30,$ 3.17,$ 2.13,60%,2018,9,0.692307692,Whatsminer,,,
INNOSILICON,INNOSILICON T3,43,2100,49,0.00065322,$ 5.18,$ 2.52,$ 2.66,49%,2018,11,0.846153846,INNOSILICON,,,
Bitmain,Antminer T17,40,2200,55,0.00060764,$ 4.82,$ 2.64,$ 2.18,55%,2019,4,0.307692308,Bitmain,,,
INNOSILICON,INNOSILICON T3 (39T),39,2150,55,0.00059245,$ 4.70,$ 2.58,$ 2.12,55%,2019,4,0.307692308,INNOSILICON,,,
Bee,Bee B2S,37,1776,48,0.00056207,$ 4.45,$ 2.13,$ 2.32,48%,2019,11,0.846153846,Bee,,,
Ebit,Ebit E11+,37,2035,55,0.00056207,$ 4.45,$ 2.44,$ 2.01,55%,2018,10,0.769230769,Ebang,,,
Avalon,Avalon 1047,37,2380,64,0.00056207,$ 4.45,$ 2.86,$ 1.60,64%,2019,10,0.769230769,Canaan,,,
Avalon,Avalon 1026,35,2415,69,0.00053169,$ 4.21,$ 2.90,$ 1.32,69%,2019,10,0.769230769,Canaan,,,
Whatsminer,Whatsminer M10,33,2145,65,0.00050131,$ 3.97,$ 2.57,$ 1.40,65%,2018,8,0.615384615,Whatsminer,,,
GMO,GMO B3,33,3417,104,0.00050131,$ 3.97,$ 4.10,$ -0.13,103%,2018,7,0.538461538,GMO,,,
INNOSILICON,INNOSILICON T2T+,32,2200,69,0.00048612,$ 3.85,$ 2.64,$ 1.21,69%,2018,9,0.692307692,INNOSILICON,,,
Avalon,Avalon 1041,31,1736,56,0.00047092,$ 3.73,$ 2.08,$ 1.65,56%,2019,3,0.230769231,Canaan,,,
Hummer,Hummer Miner H7,31,1984,64,0.00047092,$ 3.73,$ 2.38,$ 1.35,64%,2019,6,0.461538462,Hummer,,,
Ebit,Ebit E11,30,1950,65,0.00045573,$ 3.61,$ 2.34,$ 1.27,65%,2018,10,0.769230769,Ebang,,,
INNOSILICON,INNOSILICON T2T (30T),30,2200,73,0.00045573,$ 3.61,$ 2.64,$ 0.97,73%,2019,8,0.615384615,INNOSILICON,,,
Bitmain,Antminer S15,28,1596,57,0.00042535,$ 3.37,$ 1.92,$ 1.46,57%,2018,11,0.846153846,Bitmain,,,
Whatsminer,Whatsminer M21,28,1680,60,0.00042535,$ 3.37,$ 2.02,$ 1.36,60%,2019,9,0.692307692,Whatsminer,,,
Whatsminer,Whatsminer M10 (Underclocked ),25,1500,60,0.00037978,$ 3.01,$ 1.80,$ 1.21,60%,2018,8,0.615384615,Whatsminer,,,
INNOSILICON,INNOSILICON T2T-25T,25,2050,82,0.00037978,$ 3.01,$ 2.46,$ 0.55,82%,2018,9,0.692307692,INNOSILICON,,,
SnowPanther,SnowPanther B1+,24.5,2100,86,0.00037218,$ 2.95,$ 2.52,$ 0.43,85%,2018,8,0.615384615,SnowPanther,,,
INNOSILICON,INNOSILICON T2 Turbo (T2T),24,1980,83,0.00036459,$ 2.89,$ 2.38,$ 0.51,82%,2018,7,0.538461538,INNOSILICON,,,
Bitmain,Antminer T15,23,1541,67,0.0003494,$ 2.77,$ 1.85,$ 0.92,67%,2018,11,0.846153846,Bitmain,,,
Avalon,Avalon A9,23,1720,75,0.0003494,$ 2.77,$ 2.06,$ 0.71,75%,2018,8,0.615384615,Canaan,,,
Holic,Holic H22,22,1700,77,0.0003342,$ 2.65,$ 2.04,$ 0.61,77%,2018,12,0.923076923,Holic,,,
Bee,Bee B2T,21,1155,55,0.00031901,$ 2.53,$ 1.39,$ 1.14,55%,2019,10,0.769230769,Bee,,,
Bitexpress,Bitexpress R1,21,1300,62,0.00031901,$ 2.53,$ 1.56,$ 0.97,62%,2019,4,0.307692308,Bitexpress,,,
Bitmain,Antminer S11,20.5,1435,70,0.00031142,$ 2.47,$ 1.72,$ 0.75,70%,2018,12,0.923076923,Bitmain,,,
Avalon,Avalon A921,20,1700,85,0.00030382,$ 2.41,$ 2.04,$ 0.37,85%,2018,10,0.769230769,Canaan,,,
Avalon,Avalon A911,18,1440,80,0.00027344,$ 2.17,$ 1.73,$ 0.44,80%,2018,10,0.769230769,Canaan,,,
Ebit,Ebit E10.1,18,1620,90,0.00027344,$ 2.17,$ 1.94,$ 0.22,90%,2017,12,0.923076923,Ebang,,,
Bitmain,Antminer S9 Hydro,18,1728,96,0.00027344,$ 2.17,$ 2.07,$ 0.09,96%,2018,8,0.615384615,Bitmain,,,
INNOSILICON,INNOSILICON T2 Miner,17.2,1570,91,0.00026129,$ 2.07,$ 1.88,$ 0.19,91%,2018,5,0.384615385,INNOSILICON,,,
Bitmain,Antminer S9 SE,16,1280,80,0.00024306,$ 1.93,$ 1.54,$ 0.39,80%,2019,8,0.615384615,Bitmain,,,
DragonMint,DragonMint T1 Miner,16,1480,93,0.00024306,$ 1.93,$ 1.78,$ 0.15,92%,2018,4,0.307692308,DragonMint,,,
Ebit,Ebit E9.3,16,1760,110,0.00024306,$ 1.93,$ 2.11,$ -0.19,110%,2017,2,0.153846154,Ebang,,,
Bitmain,Antminer S9j,14.5,1350,93,0.00022027,$ 1.75,$ 1.62,$ 0.13,93%,2018,8,0.615384615,Bitmain,,,
Bitmain,Antminer S9i (14.5T),14.5,1365,94,0.00022027,$ 1.75,$ 1.64,$ 0.11,94%,2018,7,0.538461538,Bitmain,,,
Avalon,Avalon A851,14.5,1450,100,0.00022027,$ 1.75,$ 1.74,$ 0.01,100%,2018,5,0.384615385,Canaan,,,
Bitmain,Antminer S9,14,1190,85,0.00021268,$ 1.69,$ 1.43,$ 0.26,85%,2019,9,0.692307692,Bitmain,,,
Bitmain,Antminer S9i (14T),14,1320,94,0.00021268,$ 1.69,$ 1.58,$ 0.10,94%,2018,5,0.384615385,Bitmain,,,
Avalon,Avalon A841,13.6,1290,95,0.0002066,$ 1.64,$ 1.55,$ 0.09,95%,2018,4,0.307692308,Canaan,,,
Ebit,Ebit E9i,13.5,1418,105,0.00020508,$ 1.63,$ 1.70,$ -0.08,105%,2018,7,0.538461538,Ebang,,,
Bitmain,Antminer S9,13,1300,100,0.00019748,$ 1.57,$ 1.56,$ 0.01,100%,2016,7,0.538461538,Bitmain,,,
Whatsminer,Whatsminer M3v2,12.5,2100,168,0.00018989,$ 1.50,$ 2.52,$ -1.02,167%,2018,5,0.384615385,Whatsminer,,,
Ebit,Ebit E9.2,12,1320,110,0.00018229,$ 1.44,$ 1.58,$ -0.14,110%,2016,12,0.923076923,Ebang,,,
Avalon,Avalon A821,11.5,1200,104,0.0001747,$ 1.38,$ 1.44,$ -0.06,104%,2017,12,0.923076923,Canaan,,,
Whatsminer,Whatsminer M3,11.5,2000,174,0.0001747,$ 1.38,$ 2.40,$ -1.02,173%,2018,5,0.384615385,Whatsminer,,,
Bitmain,Antminer T9+,10.5,1432,136,0.00015951,$ 1.26,$ 1.72,$ -0.45,136%,2018,1,0.076923077,Bitmain,,,
Ebit,Ebit E9+,9,1305,145,0.00013672,$ 1.08,$ 1.57,$ -0.48,145%,2017,12,0.923076923,Ebang,,,
Avalon,Avalon A741,7.3,1150,158,0.0001109,$ 0.8789,$ 1.38,$ -0.50,157%,2016,12,0.923076923,Canaan,,,
Bitmain,Antminer V9,4,1027,257,0.00006076,$ 0.4816,$ 1.23,$ -0.75,256%,2018,2,0.153846154,Bitmain,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,